User,Date,Text,Reply,Repost,Like,View
@jagapati_ardnto,2024-10-01-02:47:15,"Terima kasih, Pak Jokowi, telah memimpin dengan bijak di tengah dinamika politik yang penuh tantangan. #10TahunJokowiMembangun",0,0,0,12
@teungku_shaka,2024-10-01-02:47:04,"Pak Jokowi, terima kasih sudah memimpin dengan penuh kebijaksanaan. #10TahunJokowiMembangun",0,0,0,13
@usman_syaiful49,2024-10-01-02:45:41,"Terima kasih, Pak Jokowi, telah menjaga keberagaman di Indonesia dengan penuh kebijaksanaan. #10TahunJokowiMembangun",0,0,0,14
@nurul_hana2,2024-10-01-02:44:51,"Terima kasih, Pak Jokowi, lo udah dukung pengembangan olahraga basket! #10TahunJokowiMembangun",0,0,0,14
@karimah_wlndr01,2024-10-01-02:44:26,"Terima kasih, Pak Jokowi, telah memajukan sektor pariwisata di Indonesia. #10TahunJokowiMembangun",0,0,0,16
@octaviasarii_,2024-10-01-02:44:12,Terima kasih Jokowi atas pembangunan infrastruktur yang mempercepat mobilitas. #10TahunJokowiMembangun,0,0,0,9
@loli_nisa7,2024-10-01-02:43:30,"Kita semua bangga punya pemimpin seperti lo, terima kasih, Pak Jokowi! #10TahunJokowiMembangun",0,0,0,5
@handika_akbar45,2024-10-01-02:42:49,"Terima kasih Jokowi, pembangunan sudah sampai ke kampung kami. #10TahunJokowiMembangun",0,0,0,8
@alina_mardimah1,2024-10-01-02:42:32,"Terima kasih, Pak Jokowi, sudah membawa Indonesia makin maju di mata dunia. #10TahunJokowiMembangun",0,0,0,10
@miati_mahdu,2024-10-01-02:42:20,"Pak Jokowi, terima kasih sudah bekerja keras demi kemajuan Indonesia. #10TahunJokowiMembangun",0,0,0,14
@agus_rahman40,2024-10-01-02:41:58,"Jokowi: ""Terima kasih atas kepercayaan dan dukungan rakyat."" #10TahunJokowiMembangun",0,0,0,18
@riza_pur,2024-10-01-02:41:19,"Terima kasih atas segala usaha untuk meningkatkan kesejahteraan masyarakat, Pak Jokowi. #10TahunJokowiMembangun",0,0,0,15
@utama_winarno,2024-10-01-02:41:17,"Terima kasih, Pak Jokowi, telah membangun Indonesia dengan visi dan semangat besar. #10TahunJokowiMembangun",0,0,0,12
@anastasia_ksmwt,2024-10-01-02:40:47,"Terima kasih, Pak Jokowi, atas kerja nyata membangun Indonesia dari pinggiran! #10TahunJokowiMembangun",0,0,0,12
@hilma_danatul,2024-10-01-02:39:43,"Terima kasih atas keberhasilan program pembangunan infrastruktur, Pak Jokowi! #10TahunJokowiMembangun",0,0,0,8
@ramdani_putra02,2024-10-01-02:38:53,"Kami sangat menghargai dedikasi Presiden Jokowi dalam membangun infrastruktur yang berkelanjutan, terima kasih. #10TahunJokowiMembangun",0,0,0,14
@Fa98849Fatah,2024-10-01-02:38:34,Terima kasih raja jawa yg telah mewariskan hutang ke ke rakyat ..kau dan keluarga mu yang menikmati rakyat yg suruh bayar...enak ya kamu,0,0,0,30
@nazila_ardh6,2024-10-01-02:37:58,"Sekarang semua orang boleh rasa manfaat pembangunan, terima kasih Pak Jokowi. #10TahunJokowiMembangun",0,0,0,17
@yudis_bagas98,2024-10-01-02:36:30,Terima kasih Jokowi telah membangun jembatan-jembatan kemajuan di seluruh Indonesia. #10TahunJokowiMembangun,0,0,0,10
@bakidin_jayadi,2024-10-01-02:36:27,"Terima kasih, Pak Jokowi, lo udah bawa perhatian ke sektor seni! #10TahunJokowiMembangun",0,0,0,11
@markelok_sianpr,2024-10-01-02:36:18,"Terima kasih, Pak Jokowi, telah memperkuat hubungan internasional Indonesia. #10TahunJokowiMembangun",0,0,0,14
@nina_saputri77,2024-10-01-02:35:51,"Terima kasih, Pak Jokowi, sudah menjaga kestabilan politik dan ekonomi di Indonesia. #10TahunJokowiMembangun",0,0,0,13
@waias_widodo,2024-10-01-02:35:50,"Pak Jokowi, terima kasih telah memperbaiki konektivitas antara kota dan desa. #10TahunJokowiMembangun",0,0,0,7
@arjita_mahsya,2024-10-01-02:34:48,"Terima kasih, skarang hidup di kampung jadi lebih nyaman berkat Jokowi. #10TahunJokowiMembangun",0,0,0,6
@baria_kimilia,2024-10-01-02:34:30,"Jalan skarang su bagus dan torang bisa jalan cepat ke kota, terima kasih Jokowi. #10TahunJokowiMembangun",0,0,0,30
@habibah_fa28143,2024-10-01-02:33:08,"Di bawah kepemimpinan Pak Jokowi, Indonesia tumbuh pesat, terima kasih banyak! #10TahunJokowiMembangun",0,0,0,9
@adelia_mar9,2024-10-01-02:32:36,"Terima kasih atas pembangunan infrastruktur yang mempermudah akses layanan dasar, Pak Jokowi. #10TahunJokowiMembangun",0,0,0,7
@fadil_hadyanto,2024-10-01-02:32:24,"Terima kasih, Pak Jokowi, atas dedikasi Anda dalam mengembangkan infrastruktur digital di Indonesia. #10TahunJokowiMembangun",0,0,0,12
@dian_ayu45444,2024-10-01-02:31:38,Terima kasih Jokowi! Warga Bogor siap melanjutkan perjuangan untuk negeri yang lebih baik. #10TahunJokowiMembangun,0,0,0,13
@razar_misaki,2024-10-01-02:31:32,"Terima kasih, Presiden Jokowi, atas visi besar yang membawa Indonesia menuju kemajuan. #10TahunJokowiMembangun",0,0,0,17
@faisal_syahputr,2024-10-01-02:29:07,"Pak Jokowi telah membawa Indonesia menuju masa depan yang lebih cerah, terima kasih. #10TahunJokowiMembangun",0,0,0,14
@elis_tukasih,2024-10-01-02:28:49,"10 tahun kepemimpinan Pak Jokowi membawa banyak perubahan positif, terima kasih! #10TahunJokowiMembangun",0,0,0,9
@yudi_saput20,2024-10-01-02:28:22,Terima kasih Jokowi atas kebijakan yang fokus pada pemberdayaan masyarakat. #10TahunJokowiMembangun,0,0,0,6
@BramantoNu7747_,2024-10-01-02:27:50,"Terima kasih banyak, Pak Jokowi su bikin ekonomi di kampung stabil. #10TahunJokowiMembangun",0,0,0,10
@adyat_mahavir,2024-10-01-02:27:38,"Terima kasih, Pak Jokowi, lo udah mendukung keberagaman budaya di Aceh. #10TahunJokowiMembangun",0,0,0,15
