User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@rei1_f,2025-04-09-22:51:34,"Been playing since 2013. I used to play it with various friends I'd met online, but mostly alone. Now, i have a nephew who has just started elementary that occasionally asks me to play together. 

Time sure flies fast",,0,0,0,150
@rei1_f,2025-04-09-17:01:15,17:00 Masih di kereta: ❌17:00 Dah sampe rumah: ✅Kantor deket rumah itu enak tapi gak ada alasan untuk masuk telat bjir,,0,0,0,79
@rei1_f,2025-04-09-15:16:06,Dwifungsi IT,,0,0,3,100
@rei1_f,2025-04-09-11:29:46,info loker bang,,1,0,1,73
@rei1_f,2025-04-07-23:56:33,Libur telah usai 😞,,0,0,0,60
@rei1_f,2025-04-07-17:43:15,Semua orang pernah ngerasa gitu kok,,0,0,1,28
@rei1_f,2025-04-06-11:23:34,"BI ini cok, moal aya lamun urang jawa mah",,1,0,0,77
@rei1_f,2025-04-06-06:31:41,"Ada, mau yang BI pun ada",,1,0,0,57
@rei1_f,2025-04-06-06:02:44,Ts peak,,0,0,0,90
@rei1_f,2025-04-06-04:34:51,Beda agama Fik☹️,,1,0,0,76
@rei1_f,2025-04-05-19:38:31,"Tmn yang di us, bisa dapet part time sbg store clerk digaji 12$/hour.
Tmn di israel dapet full time sbg sales bank digaji 18$/hour.
Temen di Russia masuk ke militer dpt base gaji 1800$~ per bulan. 

Njir, orang² keknya tajir bener dah. Moga kekayaaanya bisa nyebar ke gw",,2,0,0,194
@rei1_f,2025-04-05-15:48:34,"Rill cui, jawab aja ""doaiin aja wisuda Agustus om/tante 🙂""",,0,0,0,30
@rei1_f,2025-04-05-15:47:24,Gaji jakarta tapi tinggal di jateng sepertinya enak....,,1,0,0,62
@rei1_f,2025-04-03-13:30:26,Kangen!?,,0,0,0,27
@rei1_f,2025-04-02-17:42:56,"Dude, i thought you were a man. Unfollowed 😔",,0,0,0,47
@rei1_f,2025-03-30-20:26:43,Kalau jungler mid lane bisa gak fik?,,0,0,0,27
@rei1_f,2025-03-29-17:24:50,Belum nemu jodohnya bang 🥲🙏,,0,0,0,31
@rei1_f,2025-03-29-09:33:27,Biasanya model  yang gini nikah lebih duluan daripada temen-temennya Fik 😂,,0,0,0,41
@rei1_f,2025-03-28-08:00:07,"Ini gw kerja apa dikerjain dah, sial.",,0,0,0,68
@rei1_f,2025-03-28-07:58:23,"Timeline gak diundur, tapi keinginan banyak dan berubah-rubah.
Kalau gw tau dari hari awal kalau cuma mau dipake 17 kelas mah, udah gw beresin dan tingkatin dari kapan tahu anj.
Goblok.",,0,0,0,81
@rei1_f,2025-03-28-07:56:48,"Minggu kedua di hari jumat baru ada rapat lagi kalau akhirnya yang dipake cm 17 kelas (18 tapi gw nego). Cuma perubahan model dari image clas ke object detection.
Hari jumat langsung gas subset data dan upload untuk anotasi.",,0,0,0,84
@rei1_f,2025-03-28-07:55:26,"Waktu 3 minggu, minta A-Z.
minggu pertama minta 58 kelas, alhamdulillah terlaksana dan sudah beres hingga tahapan deploy dengan akurasi yang baik.
Minggu kedua diminta penambahan 100 kelas, oke lah kita bantu pengambilan data yang sesuai dengan kelasnya.",,2,0,0,86
@rei1_f,2025-03-28-07:52:15,"Mana ada penambahan data baru hari Rabu yang belum dianotasi sampe saat ini dan dipaksa untuk dipakai sebelum tanggal 8.
Kemana hak gw untuk berlibur di hari raya?",,0,0,0,56
@rei1_f,2025-03-28-07:50:50,"Minimal ngotak dikit lah bangsat, 
Mulai anotasi Senin, selesai anotasi hari Selasa. Masuk tahap pemodelan hari Rabu dan diekpetasi untuk deploy hari Jumat ini?
Gblk",,0,0,1,59
@rei1_f,2025-03-28-07:46:44,"terima gaji telat, deadline gak ngotak, hari libur pun terpaksa lembur.

Memang kontol",,0,0,0,54
@rei1_f,2025-03-27-13:08:43,Me n who fr,,1,0,0,87
@rei1_f,2025-03-25-19:01:55,Thrnya dong tante 😇🙏,,1,0,0,49
